s5 pm10,m pm10,s1 pm10,s2 pm10,s3 pm10,s4 pm10
79.3,92,82.7,0,0,0
78.4,92.9,81.8,0,0,0
75.6,97.3,88.3,0,0,0
77.3,93.8,84.1,0,0,0
79.1,91.3,81.9,0,0,0
79,91.7,82.8,0,0,0
78.5,87,78.6,0,0,0
80.2,92.1,79.9,0,0,0
83.7,84.8,73.3,0,0,0
83.7,87.4,76.6,0,0,0
83.1,87.4,79.6,0,0,0
85.7,85.9,82,0,0,0
84,85.1,78.9,0,0,0
81.1,82.7,77.8,0,0,0
80.2,84.4,81.2,0,0,0
79.3,84.8,80.2,0,0,0
80.1,84.5,80.2,0,0,0
78.6,85,80.7,0,0,0
77.8,90.1,83.2,0,0,0
81.5,92.3,83.1,0,0,0
78.7,98.2,80.7,0,0,0
76.1,96.2,81.3,0,0,0
73.5,98,80.9,0,0,0
72.2,94.8,78.6,0,0,0
72.9,89.9,80.5,0,0,0
69.2,87.8,78.3,0,0,0
71.3,88.1,79.7,0,0,0
70.9,93.2,76.7,0,0,0
70.4,91.6,74.8,0,0,0
70.3,94.2,74.7,0,0,0
68.9,96,74.5,0,0,0
70.2,96.8,75.6,0,0,0
68.3,91.9,74.4,0,0,0
71,90.1,77.1,0,0,0
72.2,86.1,77.6,0,0,0
70.8,91.8,78.1,0,0,0
74.6,93.8,74.8,0,0,0
72.7,93.7,78.6,0,0,0
75,95.6,76.5,0,0,0
72.7,93.1,76.9,0,0,0
71.1,94.7,77.6,0,0,0
73.8,99.2,76.9,0,0,0
70.7,95.4,78.3,0,0,0
73.2,97.5,72.5,0,0,0
72.2,96.4,75.2,0,0,0
73.9,98,71.2,0,0,0
76,96.4,72.6,0,0,0
74.7,87.6,72.4,0,0,0
75.8,88.7,71,0,0,0
77.1,86.9,71.2,0,0,0
76.4,83.3,68.7,0,0,0
73.1,81.7,65.6,0,0,0
69.7,86.2,64.9,0,0,0
68.4,85.6,63.8,0,0,0
67.3,86.2,72.2,0,0,0
65.3,84.4,69.7,0,0,0
63.5,90.9,71,0,0,0
65.2,89.8,74.1,0,0,0
65.6,87.9,71.9,0,0,75.1
66,85.2,70.9,0,0,69.5
66.2,90.1,67.6,0,0,73.9
66.8,88.6,69.2,0,0,83.5
67.6,89,70.2,0,0,84.5
67.3,92.8,74.4,0,0,92.7
70.6,93.8,76.5,0,0,90.4
73.3,94.7,74.4,0,0,94.9
70.8,94.6,73.3,0,0,97.1
71.8,97.3,74.1,0,0,91.6
71.7,98.5,75,0,0,89.8
72,94.6,72,0,0,84.9
71.8,94.2,74.1,0,0,87.3
70.8,93.6,78.3,0,0,88.4
71.4,91.6,76.8,0,0,86.7
70.6,86.6,77.7,0,0,86.6
73.7,89.6,78.4,0,0,82.2
77.5,90.2,78,0,0,81.3
80,88.2,71.1,0,0,83.2
80,85.7,72.2,0,0,80.3
80,85.7,72.2,0,0,80.3
81,87.4,66.8,0,0,79.5
76.4,81.1,65.6,0,0,82.5
74.8,77.7,68.4,0,0,83.8
72,76.8,73.7,0,0,91.6
73.2,81,74.3,0,0,93.9
71.9,78.9,78.3,0,0,94.5
74.7,85,83.2,0,0,91.8
76.1,83.3,85.3,0,0,92
73,84.3,82.5,0,0,91
70.6,87.2,81.2,0,0,82
69.8,86.4,75.7,0,0,82.9
69.8,86.4,75.7,0,0,82.9
70.4,84.2,71.3,0,0,82.9
67.7,82.9,70,0,0,80
70.3,81.5,72,0,0,80.6
71.4,80.7,69.7,0,0,84.3
72.9,81.1,73.6,0,0,83.3
72.7,83.9,76.7,0,0,82.8
72.7,85.1,73.9,0,0,86
76,86.4,70.5,0,0,86.9
73.7,87.3,68.7,0,0,85.1
78.3,88.2,70.4,0,0,83.8
74.1,90.4,71,0,0,81.8
73.6,88.5,69.1,0,0,80.1
72.4,92,68.6,0,0,83.2
71.5,92.3,70.2,0,0,82.4
70.3,92.9,68.7,0,0,82.5
66.2,97.4,63,0,0,79.9
67.1,100.4,62.7,0,0,76.9
70.4,101.5,64.8,0,0,75.1
68.4,105.8,71.5,0,0,71.6
68.6,116.4,72.7,0,0,72.5
68.7,112.1,74,0,0,73.3
69.8,112.6,77,0,0,72.8
69.3,116.8,81.6,0,0,73.5
69.7,118.3,83.6,0,0,74.7
70.9,117.4,80.1,0,0,77.5
70.4,109,83.6,0,0,75.5
72,118.5,81.5,0,0,75.2
71.3,113.9,81.9,0,0,76.2
